Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome composition,Host Source
19,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Itarudivirus,NA,Itarudivirus ARV1,E,Acidianus rod-shaped virus 1,ARV1,NA,AJ875026,Complete coding genome,dsDNA,archaea
20,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Japarudivirus,NA,Japarudivirus SBRV1,E,Sulfolobales Beppu rod-shaped virus 1,SBRV1,NA,MK064565,Complete coding genome,dsDNA,archaea
21,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Mexirudivirus,NA,Mexirudivirus SMRV1,E,Sulfolobales Mexican rod-shaped virus 1,SMRV1,NA,JX944686,Complete coding genome,dsDNA,archaea
22,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Usarudivirus,NA,Usarudivirus SIRV4,E,Sulfolobus islandicus rod-shaped virus 4,SIRV4,NA,KY744231,Complete coding genome,dsDNA,archaea
23,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Usarudivirus,NA,Usarudivirus SIRV5,E,Sulfolobus islandicus rod-shaped virus 5,SIRV5,NA,KY744233,Complete coding genome,dsDNA,archaea
24,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Usarudivirus,NA,Usarudivirus SIRV8,E,Sulfolobus islandicus rod-shaped virus 8,SIRV8,NA,KY744229,Complete coding genome,dsDNA,archaea
25,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Usarudivirus,NA,Usarudivirus SIRV9,E,Sulfolobus islandicus rod-shaped virus 9,SIRV9,NA,KY744228,Complete coding genome,dsDNA,archaea
26,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Usarudivirus,NA,Usarudivirus SIRV10,E,Sulfolobus islandicus rod-shaped virus 10,SIRV10,NA,KY744230,Complete coding genome,dsDNA,archaea
27,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Usarudivirus,NA,Usarudivirus SIRV11,E,Sulfolobus islandicus rod-shaped virus 11,SIRV11,NA,KY744234,Complete coding genome,dsDNA,archaea
28,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Ungulaviridae,NA,Captovirus,NA,Captovirus AFV1,E,Acidianus filamentous virus 1,AFV1,NA,AJ567472,Complete genome,dsDNA,archaea
29,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Primavirales,NA,Tristromaviridae,NA,Alphatristromavirus,NA,Alphatristromavirus PFV1,E,Pyrobaculum filamentous virus 1,PFV1,NA,KU307456,Complete genome,dsDNA,archaea
30,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Primavirales,NA,Tristromaviridae,NA,Alphatristromavirus,NA,Alphatristromavirus PFV2,E,Pyrobaculum filamentous virus 2,PFV2,NA,MN876844,Complete genome,dsDNA,archaea
31,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Primavirales,NA,Tristromaviridae,NA,Betatristromavirus,NA,Betatristromavirus TTV1,E,Thermoproteus tenax virus 1,TTV1,NA,X14855,Partial genome,dsDNA,archaea
32,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Batrachovirus,NA,Ranid herpesvirus 1,E,Lucké tumor herpesvirus; ranid herpesvirus 1,LTHV; RaHV1,McKinnell,DQ665917,Complete genome,dsDNA,vertebrates
33,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Batrachovirus,NA,Ranid herpesvirus 2,E,frog virus 4; ranid herpesvirus 2,FV4; RaHV2,Rafferty,DQ665652,Complete genome,dsDNA,vertebrates
34,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Batrachovirus,NA,Ranid herpesvirus 3,E,ranid herpesvirus 3,RaHV3,FO1_2015,KX832224,Complete genome,dsDNA,vertebrates
35,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Cyprinivirus,NA,Anguillid herpesvirus 1,E,Japanese eel herpesvirus; anguillid herpesvirus 1,AngHV1,500138,FJ940765,Complete genome,dsDNA,vertebrates
36,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Cyprinivirus,NA,Cyprinid herpesvirus 1,E,carp pox herpesvirus; cyprinid herpesvirus 1,CyHV1,NG-J1,JQ815363,Complete genome,dsDNA,vertebrates
37,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Cyprinivirus,NA,Cyprinid herpesvirus 2,E,goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2,CyHV2,ST-J1,JQ815364,Complete genome,dsDNA,vertebrates
38,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Cyprinivirus,NA,Cyprinid herpesvirus 3,E,koi herpesvirus; cyprinid herpesvirus 3,KHV; CyHV3,KHV-U,DQ657948,Complete genome,dsDNA,vertebrates
39,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Ictalurivirus,NA,Acipenserid herpesvirus 2,E,white sturgeon herpesvirus 2; acipenserid herpesvirus 2,AciHV2,SRWSHV,FJ815289,Partial genome,dsDNA,vertebrates
40,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Ictalurivirus,NA,Ictalurid herpesvirus 1,E,channel catfish virus; ictalurid herpesvirus 1,CCV; IcHV1,Auburn 1,M75136,Complete genome,dsDNA,vertebrates
41,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Ictalurivirus,NA,Ictalurid herpesvirus 2,E,black bullhead herpesvirus; ictalurid herpesvirus 2,IcHV2,760/94,MG271984,Complete genome,dsDNA,vertebrates
42,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Salmonivirus,NA,Salmonid herpesvirus 1,E,herpesvirus salmonis; salmonid herpesvirus 1,SalHV1,Winthrop,AF023673,Partial genome,dsDNA,vertebrates
43,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Salmonivirus,NA,Salmonid herpesvirus 2,E,Oncorhyncus masou herpesvirus; salmonid herpesvirus 2,SalHV2,NeVTA,EU349274,Partial genome,dsDNA,vertebrates
44,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Alloherpesviridae,NA,Salmonivirus,NA,Salmonid herpesvirus 3,E,epizootic epitheliotropic disease virus; salmonid herpesvirus 3,SalHV3,Wisconsin epidemic,EU349277,Partial genome,dsDNA,vertebrates
45,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Iltovirus,NA,Gallid alphaherpesvirus 1,E,gallid alphaherpesvirus 1; infectious laryngotracheitis virus,GaAHV1; ILTV,SA2,JN596962,Complete genome,dsDNA,vertebrates
46,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Iltovirus,NA,Psittacid alphaherpesvirus 1,E,psittacid alphaherpesvirus 1; Pacheco's disease virus,PsAHV1; PDV,97-0001,AY372243,Complete genome,dsDNA,vertebrates
47,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Mardivirus,NA,Anatid alphaherpesvirus 1,E,anatid alphaherpesvirus 1; duck enteritis virus,AnAHV1; DEV,2085,JF999965,Complete genome,dsDNA,vertebrates
48,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Mardivirus,NA,Columbid alphaherpesvirus 1,E,columbid alphaherpesvirus 1; pigeon herpesvirus,CoAHV1; PHV,HLJ,KX589235,Complete genome,dsDNA,vertebrates
49,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Mardivirus,NA,Gallid alphaherpesvirus 2,E,gallid alphaherpesvirus 2; Marek's disease virus,GaAHV2; MDV,Md5,AF243438,Complete genome,dsDNA,vertebrates
50,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Mardivirus,NA,Gallid alphaherpesvirus 3,E,gallid alphaherpesvirus 3; gallid herpesvirus 3,GaAHV3,SB-1,HQ840738,Complete genome,dsDNA,vertebrates
51,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Mardivirus,NA,Meleagrid alphaherpesvirus 1,E,meleagrid alphaherpesvirus 1; turkey herpesvirus,MeAHV1; HVT,FC-126 (Burmenester),AF291866,Complete genome,dsDNA,vertebrates
52,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Mardivirus,NA,Spheniscid alphaherpesvirus 1,E,spheniscid alphaherpesvirus 1,SpAHV1,lib01004,LT608135,Complete genome,dsDNA,vertebrates
53,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Scutavirus,NA,Chelonid alphaherpesvirus 5,E,chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus,ChAHV5; FPTHV,CH-651-60O9,HQ878327,Partial genome,dsDNA,vertebrates
54,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Scutavirus,NA,Testudinid alphaherpesvirus 3,E,testudinid alphaherpesvirus 3; testudinid herpesvirus 3,TeAHV3; TeHV3,1976,KM924292,Complete genome,dsDNA,vertebrates
55,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Ateline alphaherpesvirus 1,E,ateline alphaherpesvirus 1; herpesvirus ateles 1,AtAHV1; HVA1,Lennette,KY385637,Complete genome,dsDNA,vertebrates
56,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Bovine alphaherpesvirus 2,E,bovine alphaherpesvirus 2; bovine mammillitis virus,BoAHV2; BMV,C1Z FZR,MT862163,Complete genome,dsDNA,vertebrates
57,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Cercopithecine alphaherpesvirus 2,E,cercopithecine alphaherpesvirus 2; simian agent 8,CeAHV2; SA8,B264,AY714813,Complete genome,dsDNA,vertebrates
58,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Human alphaherpesvirus 1,E,human alphaherpesvirus 1; herpes simplex virus type 1,HuAHV1; HSV1,17,JN555585,Complete genome,dsDNA,vertebrates
59,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Human alphaherpesvirus 2,E,human alphaherpesvirus 2; herpes simplex virus type 2,HuAHV2; HSV2,HG52,JN561323,Complete genome,dsDNA,vertebrates
60,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Leporid alphaherpesvirus 4,E,leporid alphaherpesvirus 4; leporid herpesvirus 4,LeAHV4; LHV4,LHV4012612,JQ596859,Complete genome,dsDNA,vertebrates
61,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Macacine alphaherpesvirus 1,E,macacine alphaherpesvirus 1; B-virus,McAHV1; BV,E2490,AF533768,Complete genome,dsDNA,vertebrates
62,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Macacine alphaherpesvirus 2,E,macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1,McAHV2,8100812,KY628968,Complete genome,dsDNA,vertebrates
63,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Macacine alphaherpesvirus 3,E,macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1,McAHV3,KQ,KY628970,Complete genome,dsDNA,vertebrates
64,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Macropodid alphaherpesvirus 1,E,macropodid alphaherpesvirus 1; Parma wallaby herpesvirus,MaAHV1,MaHV1.3076/08,KT594769,Complete genome,dsDNA,vertebrates
65,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Macropodid alphaherpesvirus 2,E,macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus,MaAHV2,V3077/08,MT900475,Complete genome,dsDNA,vertebrates
66,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Panine alphaherpesvirus 3,E,panine alphaherpesvirus 3; chimpanzee herpesvirus,PnAHV3; ChHV,105640,JQ360576,Complete genome,dsDNA,vertebrates
67,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Papiine alphaherpesvirus 2,E,papiine alphaherpesvirus 2; herpesvirus papio 2,PaAHV2; HPV2,X313,DQ149153,Complete genome,dsDNA,vertebrates
68,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Pteropodid alphaherpesvirus 1,E,pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1,PtHAV1; FBAHV1,NA,AB825953,Complete genome,dsDNA,vertebrates
69,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Simplexvirus,NA,Saimiriine alphaherpesvirus 1,E,saimiriine alphaherpesvirus 1; herpesvirus saimiri 1,SaAHV1; HVS1,MV 5-4,HM625781,Complete genome,dsDNA,vertebrates
70,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Bovine alphaherpesvirus 1,E,bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus,BoAHV1; IBRV,Cooper/NVSL challenge 97-11,JX898220,Complete genome,dsDNA,vertebrates
71,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Bovine alphaherpesvirus 5,E,bovine alphaherpesvirus 5; bovine encephalitis herpesvirus,BoAHV5,SV507/99,AY261359,Complete genome,dsDNA,vertebrates
72,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Bubaline alphaherpesvirus 1,E,bubaline alphaherpesvirus 1; water buffalo herpesvirus,BuAHV1,b6,KU936049,Complete genome,dsDNA,vertebrates
73,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Canid alphaherpesvirus 1,E,canid alphaherpesvirus 1; canine herpesvirus,CaAHV1; CHV,194,KT819633,Complete genome,dsDNA,vertebrates
74,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Caprine alphaherpesvirus 1,E,caprine alphaherpesvirus 1; goat herpesvirus,CpAHV1,E/CH,MG989243,Complete genome,dsDNA,vertebrates
75,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Cercopithecine alphaherpesvirus 9,E,cercopithecine alphaherpesvirus 9; simian varicella virus,CeAHV9; SVV,Delta,AF275348,Complete genome,dsDNA,vertebrates
76,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Cervid alphaherpesvirus 1,E,cervid alphaherpesvirus 1; red deer herpesvirus,CvAHV1,Anlier,MH036942,Complete genome,dsDNA,vertebrates
77,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Cervid alphaherpesvirus 2,E,cervid alphaherpesvirus 2; reindeer herpesvirus,CvAHV2,Norway,MH036943,Complete genome,dsDNA,vertebrates
78,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Cervid alphaherpesvirus 3,E,cervid alphaherpesvirus 3; elk herpesvirus,CvAHV3,Canada,MH036941,Partial genome,dsDNA,vertebrates
79,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Equid alphaherpesvirus 1,E,equid alphaherpesvirus 1; equine abortion virus,EqAHV1; EAV,Ab4,AY665713,Complete genome,dsDNA,vertebrates
80,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Equid alphaherpesvirus 3,E,equid alphaherpesvirus 3; equine coital exanthema virus,EqAHV3,AR/2007/C3A,KM051845,Complete genome,dsDNA,vertebrates
81,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Equid alphaherpesvirus 4,E,equid alphaherpesvirus 4; equine rhinopneumonitis virus,EqAHV4,NS80567,AF030027,Complete genome,dsDNA,vertebrates
82,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Equid alphaherpesvirus 8,E,equid alphaherpesvirus 8; asinine herpesvirus 3,EqAHV8,EHV-8/IR/2003/19,MF431611,Complete genome,dsDNA,vertebrates
83,1,Duplodnaviria,NA,Heunggongvirae,NA,Peploviricota,NA,Herviviricetes,NA,Herpesvirales,NA,Herpesviridae,Alphaherpesvirinae,Varicellovirus,NA,Equid alphaherpesvirus 9,E,equid alphaherpesvirus 9; gazelle herpesvirus,EqAHV9,P19,AP010838,Complete genome,dsDNA,vertebrates
